name,year
Shining,
The Silence of the Lambs,
The Purge,
Train to Busan,
Little shop of Horrors,
The Mummy,
Ghost Rider,
Scream,
Hereditary,
Shaun of the dead,
It,
Apostle,
The Fly,
The Lost Boys,
The Witch,
Evil Dead,
Killer Klowns from Outer Space,
The Haunting,
Cannibal Holocaust,
Tetsuo: The Iron ManÂ ,
Uzumaki,
Helter Skelter,2012
Godzilla,1954
The Devil,1972
Opera,1987
Suspiria,
Viy,
Dawn of the dead,
The Devil's Backbone,
Dead Snow,
The Ritual,2017
Trollhunter,
Let the Right One In,
The White Reindeer,
November,2017
Them!,1954
